Start timestamp: 2022-02-13 02:33:30 +0200 (AIDE 0.17.3)
AIDE found differences between database and filesystem!!
New AIDE database written to /var/lib/aide/aide.db.new.gz

Summary:
  Total number of entries:	256209
  Added entries:		39253
  Removed entries:		0
  Changed entries:		1026

---------------------------------------------------
Added entries:
---------------------------------------------------

f+++++++++++++++: /etc/conf.d/rngd
f+++++++++++++++: /etc/default/chkboot.conf
d+++++++++++++++: /etc/gnuradio
d+++++++++++++++: /etc/gnuradio/conf.d
f+++++++++++++++: /etc/gnuradio/conf.d/00-grc-docs.conf
f+++++++++++++++: /etc/gnuradio/conf.d/gnuradio-runtime.conf
f+++++++++++++++: /etc/gnuradio/conf.d/gr-audio-alsa.conf
f+++++++++++++++: /etc/gnuradio/conf.d/gr-audio-jack.conf
f+++++++++++++++: /etc/gnuradio/conf.d/gr-audio-oss.conf
f+++++++++++++++: /etc/gnuradio/conf.d/gr-audio-portaudio.conf
f+++++++++++++++: /etc/gnuradio/conf.d/gr-audio.conf
f+++++++++++++++: /etc/gnuradio/conf.d/gr-qtgui.conf
f+++++++++++++++: /etc/gnuradio/conf.d/gr_log_default.conf
f+++++++++++++++: /etc/gnuradio/conf.d/grc.conf
f+++++++++++++++: /etc/gnuradio/conf.d/modtool.conf
f+++++++++++++++: /etc/ld.so.conf.d/openmpi.conf
d+++++++++++++++: /etc/openmpi
f+++++++++++++++: /etc/openmpi/openmpi-default-hostfile
f+++++++++++++++: /etc/openmpi/openmpi-mca-params.conf
f+++++++++++++++: /etc/openmpi/openmpi-totalview.tcl
f+++++++++++++++: /etc/openmpi/pmix-mca-params.conf
f+++++++++++++++: /etc/profile.d/chkboot-profilealert.sh
f+++++++++++++++: /etc/rhashrc
f+++++++++++++++: /etc/rkhunter.conf
f+++++++++++++++: /etc/wgetrc
f+++++++++++++++: /usr/bin/SoapySDRUtil
f+++++++++++++++: /usr/bin/aggregate_profile.pl
f+++++++++++++++: /usr/bin/airspy_gpio
f+++++++++++++++: /usr/bin/airspy_gpiodir
f+++++++++++++++: /usr/bin/airspy_info
f+++++++++++++++: /usr/bin/airspy_lib_version
f+++++++++++++++: /usr/bin/airspy_r820t
f+++++++++++++++: /usr/bin/airspy_rx
f+++++++++++++++: /usr/bin/airspy_si5351c
f+++++++++++++++: /usr/bin/airspy_spiflash
f+++++++++++++++: /usr/bin/aurora_bist_test.py
f+++++++++++++++: /usr/bin/b2
l+++++++++++++++: /usr/bin/bjam
f+++++++++++++++: /usr/bin/bladeRF-cli
f+++++++++++++++: /usr/bin/bladeRF-fsk
f+++++++++++++++: /usr/bin/c2dec
f+++++++++++++++: /usr/bin/c2demo
f+++++++++++++++: /usr/bin/c2enc
f+++++++++++++++: /usr/bin/c2sim
f+++++++++++++++: /usr/bin/ccmake
f+++++++++++++++: /usr/bin/chkboot
f+++++++++++++++: /usr/bin/chkboot-check
f+++++++++++++++: /usr/bin/chkboot-desktopalert
f+++++++++++++++: /usr/bin/cmake
f+++++++++++++++: /usr/bin/cmake-gui
f+++++++++++++++: /usr/bin/cohpsk_ch
f+++++++++++++++: /usr/bin/cohpsk_demod
f+++++++++++++++: /usr/bin/cohpsk_get_test_bits
